id,description,jobflag
30,"Work in a startup-type environment to design and build innovative applications using Automation, Machine Learning/Cognitive Service, business / functional proofs-of-concepts to scalable, production ready solutions across a strategic business group",1
31,"Electrically integrate connectors, sensors, actuators, electric motors, power electronics, vehicle control ECUs, battery management systems, battery chargers, DC/DC converters and Gensets into test facilities and vehicles.",3
32,Demonstrate the software on request such as: during technical pre-sales and promotional events,4
33,Strategize in collaboration with functional teams to identify data-driven solutions to ongoing needs across the organization.,1
34,Develop site-acceptance test (SAT) plans for EMS Commissioning.,3
35,Apply expert knowledge of Mechanical and Sound & Vibration engineering,3
36,"Strong communication, teamwork and problem solving skills are essential.",3
37,"Contribute to new and existing projects, collaborating with product owners, and other teams to deliver business value on an iterative basis",3
38,"Maintain the systems necessary to ensure quality of raw materials and finished products; provide primary support for all chemistry/quality related manufacturing issues; act as liaison between R&T (Research and Technology), Technical Service, Marketing & Sales, and Production; provide guidance for department (Lab) activity and ensure it is within budget.",3
39,Inform bidding strategy and data engineering architecture.,2
40,Tasked with coming and and helping the DevOps environment up and running quickly,4
41,"Build security tools and processes using Python or Go for critical infrastructure protection, monitoring and remediation.",3
42,"Demonstrate the potential to initiate, lead, and execute funding opportunities in both internal and external R&D.",2
43,Software development for low level validation of Mentor Graphics IPs,3
44,Solve technically complex problems and prioritize tasks based on technical knowledge,3
45,"Update and continuously improve knowledge, skills and attitude pertaining to instructional design and related fields. Coach Learning Institute teammates.",4
46,Work with clients to develop network engineering solutions from concept through implementation,4
47,Work across teams to report on key metrics and develop KPIs,1
48,"Reporting to the Project Manager based in San Diego, CA.",3
49,"Developing novel techniques to tackle the challenges of prediction, optimization, and classification as they relate to: pattern recognition, target detection, tracking, reasoning and inferencing systems.",3
50,Collaborate with technical and non-technical users on software implementation.,3
51,Follow coding standards and best practices,3
52,Produce data visualizations that provide insight into data set structure and meaning,1
53,Develops referral partners by building a professional network in the market,4
54,"Work with customer technical leads, client executives, and partners to manage and deliver successful implementations of cloud solutions, becoming a trusted advisor to decision-makers throughout the engagement.",4
55,"Experience in full stack development building web server both in Ubuntu and Windows operating systems for production, staging, and personal dev environment.",3
56,As needed review release status with key program team members weekly,3
57,"Foster commercial, cloud-based thinking across the various technical disciplines",3
58,Apply knowledge of systems integration to their work,1
59,Derivation of optimal software architecture for new deep learning concepts,2
60,Work closely with Research Scientist team members to write papers and patents,2
61,Maintain high standards of software quality by establishing good practices and habits,3
62,Customize and manage the ERP System to meet business requirements,4
63,Develops new market ideas and assists in developing and implementing sales and/or marketing plans.,4
64,"Facilitate Workday process and configuration evaluation and review     with administrators to ensure consistency, efficient use of each     Workday module, and innovative use of technology.",4
65,"Troubleshoot and perform a root cause analysis of customer reported product issues (including: examining code base (compiling and comparing different versions), product logs, system logs, and other system debug information)",3
66,Collaborate with sales teams to understand customer requirements and provide sales support,3
67,"Reviews and edits requirements, specifications, business processes and recommendations related to proposed solution",4
68,"Design software systems that interface with humans, machines and other software.",3
69,"Account for deliverables in addition to project plan, templates and guides will include a post implementation long term plan for management of new contracts, maintenance of existing contracts, contract modeling, contract variance, and guidelines for managing the AR net down logic.",4
70,"Work with the laboratory staff, GxP Systems team and project management on study start up activities by providing user requirements for building the test methods in LIMS and development of data transfer tools. Develops specifications for standard edit checks of data and supports performance of acceptance testing . Work with Data Management, GxP systems and Project Management teams to facilitate preparation of data transfer agreements, maintain project timelines, drive project completion, escalate issues as appropriate and maintain study data transfer deadlines.",1
71,Develop embedded software in support of Carrier wall controls and thermostats,3
72,Coordinate and facilitate between internal teams to gain feedback and insight into deals and initiatives.,4
73,"Providing Service Delivery in the form of ART Launches, Leading SAFe and Value Stream Workshops, Product Manager/Product Owner Trainings, Inspect & Adapt Workshops, Portfolio Management Workshops, and Leadership Facilitation Sessions",4
74,Works with other machine engineering leads to continue to mature the use of machine learning within the organization.,2
75,Defining data augmentation pipelines,2
76,Write documentation and/or technical articles for API and projects that you have worked on,3
77,Ensure our models are explainable and unbiased using open source libraries while looking at opportunities to augment them to fit our needs,1
78,Apply understanding of cryptographic protocols and compression technologies and their implementation in C/C++,3
79,"Mentor junior team members, motivate senior developers, establish priorities with Scrum Masters and Product Managers/Owners",3
80,"Write solid, maintainable, and testable code, paired with useful documentation",3
81,Ensure Definition-of-Ready and Definition-of-Done criteria being met  Facilitate common software requirements analysis across multiple projects  Assist Chief Software Engineer and Technical Program Managers with overall continuous technical process improvements,3
82,Provide technical advice on plant operations and improvements.,3
83,"Flexible to travel to other SEI offices in Pittsburgh and Washington, DC, sponsor sites, conferences, and offsite meetings on occasion. Moderate (25%) travel outside of your home location.",2
84,"Develop AI/ML solutions based on NLP techniques such as key phrases extraction, Topics, themes, summarization, entity extraction and Sentiment analysis",1
85,Complies with architectural standards and established methodologies and practices.,3
86,"Report any issues with source material promptly for quick replacement (audio/video drop-outs, audio glitches, distortions, sync problems, missing lines and all the other errors spotted)",3
87,Work with cloud and data architects to define robust architecture in cloud setup pipelines and work flows.,2
88,Maintain updates and enhance software products,3
89,Implement and analyze results obtained from vulnerability scans,3
90,Help to align products and processes to the strategy of the company and the problems of our clients,1
91,Overtime is required in order to meet client deadlines.,4
92,Develops and maintains scalable data pipelines and builds out new API integrations to support continuing increases in data volume and complexity.,3
93,Accurately logging all customer interactions,3
94,Integrate AI engine/ techniques with Modeling and Simulation Applications,3
95,"Build and maintain new, high impact functionality",3
96,"Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.",1
97,Document Local Area Network at assigned location(s),3
98,Build and deliver compelling demonstrations of the Freshworks products.,3
99,"Setup, deploy, and perform security administration based on experience",3
100,"This includes VoIP/IEN-Voice initiatives and configuring/optimizing all VoIP telephone systems and services, both internally, and those integrated with Internet-based services",3
101,Provide leadership at conferences and actively participate at events and meet-ups,4
102,"The role involves model construction, information extraction, prediction and finding solutions to NP Hard problems for mission critical applications using large datasets derived from a broad spectrum of domains for the following sectors - logistics, consumer goods, capital markets, and telecommunications.",1
103,"Responsible for cleaning, transforming, enriching, and analyzing vast amounts of raw data from various systems using Apache Spark and other analytics packages to develop valuable features and to provide ready-to-use data to a variety of stakeholders for robust downstream analysis.",1
104,"Design, implement, and integrate software for an embedded Linux target (applications, servers, and drivers)",3
105,"Structure and execute prototyping workshops to prove out proposed new architectures, develop best practices, and document key blocking requirements for prioritization with engineering.",3
106,"Learn about machine learning, data science, computer vision, artificial intelligence, statistics, and/or applied mathematics",2
107,Development of company values and objectives,4
108,"Identify causal relationships between observed failures, complaints and current manufacturing techniques. Product analysis and process evaluations are required to fulfill this requirement.",3
109,digital engagement program designs,4
110,Participates in software product review meetings and team meetings,3
111,"Design and execute our online experiments (ex: A/B tests, multi-armed bandit, etc.) that help us improve and fine tune our data focused features, algorithms/models, and products (ex: Search)",1
112,Implement tools to increase the level of automation in our infrastructure,3
113,Develop detailed design and configure business rules as per requirements,4
114,Perform installation / configuration of new hardware.,3
115,"Serve as an ambassador for Novartis Data Science by presenting and publishing articles at conferences, business meetings and academic institutions",1
116,"Plan and build data-driven banking ecosystem, including ecosystem support models for customer experience and marketing.",2
117,Participate in design and code reviews,3
118,"Manage payroll operations, focusing on growing payroll resource knowledge & long-term problem-solving skills.",4
119,Ensure effective engineering and Client communications,3
120,May assist as an individual contributor to an Agile Product Team (e.g. developing solutions to achieve defined business outcomes) in addition to leading a team.,3
121,"Selecting features, building and optimizing classifiers using machine learning techniques",1
122,Travel to customer sites & commission the machines with all external vendors and perform FAT.,3
123,Perform ongoing support services to existing clients,3
124,Follows a scrum agile development process including analyzing and testing software to ensure solutions meet standards and end user requirements.,3
125,Work collaboratively with internal team members on investigating and fixing defects,3
126,Transform to multichannel innovations,4
127,"Integrate diverse data sources, data types and data structures into solutions",1
128,"Infrastructure provisioning and integration with Continuous Integration/Continuous Development (CI/CD) platforms, using existing and emerging technologies.",2
129,"Support or conduct system, performance, volume, and stress testing",3
130,Build API interface for AI/Client models,2
131,Roadmap: Works with stakeholders to determine short and mid-term product development strategy for the Marketing and Communication Platform and ensures alignment with overall member engagement vision and strategy. Ensures buy-in for the product development strategy both internally and with key internal business partners.,4
132,Ensure all deliverables meet the highest standard of quality through the use of quality practices such as unit testing,3
133,Training high quality domain-specific models on latest GPU hardware,2
134,Assist with maintaining warranty status on all hardware.,3
135,"Design, develop, and maintain software test plans, software test cases, software test procedures, and automated software tests in compliance with program functional, technical, and performance requirements.",3
136,"Provide training and education programs for physicians, clinical support staff, and Impulse Dynamics field-based personnel around the benefits of Cardiac Contractility Modulation (CCM) therapy and company devices.",4
137,Complete proof of concept initiatives prior to introducing significant architectural change recommendations,2
138,"Support the development of real world data and analytics capabilities and utilization, and lead in applying cutting-edge advanced analytics methodologies and tools to generate novel insights and actions",1
139,Prepare and deliver technical presentations explaining products or services to customers and prospective customers,3
140,"Demonstrates expertise in a variety of the fields concepts, practices, and procedures. Understand infrastructure services, networking topologies, protocols and practices.",3
141,"Design, develop, test, deploy, maintain and improve software.",3
142,Work on multiple projects simultaneously,4
143,"Works with less structured, more complex issues",3
144,May interface with internal & external clients to define system requirements and/or necessary modifications.,3
145,"Create technical documentation for corresponding projects, tickets, and tasks.",4
146,"Consult on multiple projects at once, managing time and expectations with project owners.",1
147,Demonstrated leadership skills,4
148,Receipt of service provider acknowledgment of responsibility of PA card data they manage,4
149,"Provide support to customer testers during acceptance testing, including test procedure walkthroughs, documentation of testing issues and test results, and answering questions on system functionality.",3
150,Report directly to the Sales Manager regarding objectives and creative ideas.,4
151,Document all processes and setup in detail,3
152,Optimize model performance and inference speed.,2
153,"Builds a deep understanding of the Company s products, services, data and customers to facilitate development of personalized and fulfilling experience.",2
154,Regular progress meetings with customers (multiple times a week) face to face or via online meeting software. This may include working on-site.,1
155,"Implement code that follows established standards and demonstrates a basic understanding of user interface design patterns, object oriented design, database management systems, database design, database access, memory management, design patterns, test automation, continuous integration/deployment, and versioning",3
156,Design infrastructure and drive its implementation to protect our networks and systems.,3
157,Perform Operating Model Assessments for processes submitted through the Functional Requirements Review Board to determine automation suitability and complexity,4
158,"Embedded SW Development for Automotive Products (They use a proprietary OS and OSEK OS, so it does not matter if the engineer has linux or windows experience), hands on knowledge on C or C++ programming",3
159,"Design, prototype, and implementation of new solutions",3
160,Leverage data and requirements gathered from business partners to build machine learning applications,2
161,"Interpret, confirm, and/or challenge business requirements and document technical requirements",3
162,Collaborate with cross-functional engineering teams to develop new platform features,3
163,Work closely with engineering team to deliver machine learning models into production,2
164,"This position is not within technology, it is supporting financial legal individuals within investments. This is more of an operational role.",4
165,Actively participate in all phases of the development lifecycle.,3
166,Perform analytical review of client data,4
167,Lead the R&D activity in data mining area,1
168,"Maintain and expand existing plant floor machine control to Ethernet gateways, links and connections",3
169,Creation of the baselined project schedule based on the WBS as well as important milestones,4
170,"Assists in support improvement efforts and training working with clients, developers, and other technical staff to achieve desired outcome. (Approx. 10%)",4
171,"Extend existing ML libraries and frameworks, keep abreast of developments in the field and contribute as part of development and application teams to create products and solutions from prototype to production and beyond as well as create and maintain documentation per needs.",2
172,Estimating Project-specific EMS costs & schedules.,3
173,Continue to develop insurance and business intelligence knowledge while learning how work assignments address business issues.,4
174,Educating partners on the benefits of recommending products and services,4
175,Exercises Judgement within defined procedures and practices to determine appropriate action.,3
176,"Prepare audit summary findings, providing detailed comments related to the audit findings and make recommendations",3
177,"Assist with the implementation of new features and perform code maintenance, using current computer languages (such as C or C++)",3
178,"Collaborate with functional leaders to translate business needs into differentiated products & solutions, by driving business case & proforma development.",2
179,Work with other development teams to integrate models into user applications,1
180,Evaluating system architectural documentation and plans for technical viability and risks.,4
181,"Create high-level designs and when required, work with other designers/ architects.",3
182,Work closely with marketing and customers to define HVAC control systems,3
183,Be a key contributor to the planning and direction of a project and effectively prioritize goals,1
184,"Work with IT teams, management and/or data scientists to determine organizational goals",1
185,"Interact with various departments like R&D, Service, Sales and Aftermarket to collect data",1
186,"Facilitate end to end solution design reviews with other members of the technical team that include communicating design, requirements, feature sets, functionality and limitations of systems/applications",2
187,"Support deployment of new CPQ/ Billing systems for assigned Vertical, Line of Business or Channel",4
188,Software Developer for the Contrail Sustaining Engineering team.,3
189,Communicate with clients and assist clients related to the research and deployment of new products,1
190,"Document requirements, use cases, and designs.",3
191,"Work across silos with R&D scientists, mechanical, electrical, manufacturing, and service engineers, technical writers, application specialists.",3
192,Serve as technical consultant and advisor for clients.,4
193,"Engage in customer and/or prospect management activities. Drives proactive sales conversations through outside interactions at non-PNC locations with a defined sales process including, identifying and independently acting upon sales opportunities to build a strong pipeline of appointments to meet assigned sales goals. Leverages ecosystem partnerships as well as community centers of influence to acquire, expand and retain relationships.",4
194,Collaborate with Data Scientists to prototype new ML approaches and design experiments for evaluation,2
195,Communicate analytic solutions to stakeholders and implement improvements as needed to operational systems,2
196,Must be able to demonstrate innovation in problem solving,3
197,Collaborate closely with Commercial Capital Offer Strategy and Development to ensure execution feasibility of the proposed pricing and respective terms and conditions,4
198,Evaluate accuracy and quality of the designed models as well as data sources.,2
199,Works with product manager and UX designer to ensure quality code that meets the functional requirements,3
200,Ensures business needs are being met,1
201,"Mastery of anomaly detection, forecasting, and clustering algorithms",1
202,Manage the HDFS and ensuring it is working optimally at all times.,3
203,Guide and mentor junior engineers. Serve as team lead if appropriate.,2
204,Demonstrate and support all St. Louis Arc Diversity and Inclusion practices/initiatives,4
205,Independently drives for core software improvements.,3
206,Communicate effectively with customers and vendors both verbally and through email.,4
207,Debugging and integrating SW on product HW,3
208,Create/Modify technical documentation and requirements documentation,3
209,Participates in IT Operations on-call rotation.,3
210,Manage technology projects in compliance with IT standards,3
211,"Ensure all security, governance, and compliance standards are met.",2
212,Participate in a 24/7 global operation that manages and responds to security events on our networks.,3
213,"An ideal candidate for the Lead Machine Learning Scientist role should have practical experience, a love of experimentation, and a passion for the problem we're trying to solve.",1
214,"Define and maintain pack level requirements for battery controls, internal mechanical, electrical components (high voltage contactors/wiring), battery cells, and thermal performance.",3
215,Build data processing pipeline for deep learning tasks,1
216,"Perform testing (unit, independent, system and performance)",3
217,"Lead all aspects of the development of custom applications using APEX, JavaScript, Visual Force, AJAX, HTML, CSS",3
218,Clearly and regularly communicate with management and technical support colleagues,3
219,Complies with Company Drug & Alcohol Policy maintaining favorable drug testing results throughout the term of the contact,4
220,"Build production grade machine learning pipelines and data products that solve critical, complex problems and deliver business value",1
221,"Provide accurate, relevant and meaningful ad-hoc analysis to management to support strategic and tactical decision-making.",1
222,Preparation and review/approval of Engineering Changes and MRB Materials,3
223,"Senior Consultants will participate in setting engagement objectives and scope; develop work plans for components of engagements, coordinate activities between work streams and identify changes in scope.",4
224,Support and improve existing tools for continuous integration and automated testing,3
225,Work closely with developers and QA resources to ensure that the built solution meets client requirements,4
226,Prepare technical documentation and report for delivery to customer subject matter experts,3
227,"Define and refine the scope of work for integration projects, provide project and change management, data and business rule discovery and alignment, and documentation of the client's environment.",4
228,"Work with algorithm experts in perception, motion planning and platform control",3
229,Work with the team and clients to maintain and update system applications,4
230,"Capability to perform exploratory analysis, quantitative methods, user interface application design.",1
231,Understanding of overall business and end-user data and insights needs,1
232,A strong ability to balance task ownership with team collaboration,3
233,Prepares and secures transmittal for all items sent from office.,3
234,"Installs and tests software upgrades, both desktop and server based.",3
235,Performing code reviews and give directed feedback to engineers on your team,3
236,"Create the customer-facing UIs, tools and environment that allow customers, both internal and external, to configure, verify, simulate, tune, and instantiate their interconnect IP.",3
237,"Plans, develops, tests, deploys and monitors cross-platform mobile apps in a DevOps model",3
238,"Engineer each solution with serverless technology when possible, with maximum performance and lowest cost.",2
239,Engage and collaborate with others to understand data structures and opportunities.,1
240,"Test solutions on AWS using services such as SageMaker, EC2, and Snowball Edge.",1
241,Defining/designing a rough data flow of whole systems,1
242,Lead detailed strategy in generating industry-specific business growth opportunities for our product.,3
243,Accompany customer on test drives and demonstrate vehicle features and technology.,4
244,Assist with answering requests for proposals for FICA services,4
245,"Support documentation, Test Driven Development and reusable code methodologies",3
246,Collaborate and take ownership with other developers to improve software and hardware quality.,3
247,Participate in and/or lead the development of deliverable content that meets the needs of the client and contract,4
248,"Advise and collaborate in internal partnerships to deliver accurate, available, and accessible data.",2
249,Present recommendations and solutions to client leadership,4
250,"Translating system-level CONOPS, functional analysis, and requirements into models and simulations.",3
251,Work with our Engineering teams to integrate your solutions into Conversant platform.,1
252,Support our partners with training and implementations,4
253,Provide data for sales collateral,3
254,Provide support for compliance with federal regulations (over all/alternatives) acquisition analysis. Interpret data and present findings and recommendations to management.,1
255,"Provides ongoing reporting based on analysis and interpretation of large data sets, provide actionable recommendations based on findings",1
256,"Support other engagements, such as those being led by the GRC Team.",4
257,Assist in coding execution engine.,2
258,Collect and document technical requirements from customers and configure the Carbon Black software to work within the capabilities of the application for those requirements. Review the configuration decisions that are available to customers and provide expertise and guidance on best practices.,4
259,Design and develop software according to our company and OWASP secure-coding guidelines.,3
260,"Initiate timely telephone calls, faxes or emails to the customer to obtain, document or pass along needed information.",4
261,Contribute to and maintain design and user documentation,3
262,Translate analysis results into actionable insights,1
263,Develop and deliver software iteratively and incrementally,3
264,"Be the interface between the data warehouse and the data science team, using transformation frameworks to automate dataset generation",2
265,"Create original documents that describe project specifications, logic flow and data analysis findings",1
266,Investigate front-end technologies and research solutions needed for system and business requirements.,3
267,"Leverage knowledge of requirements analysis, integration, evaluation, enhancement, maintenance, and testing to formulate customer solutions.",1
268,Work with cross functional project teams on software,3
269,Develop and evolve methodologies for measuring business results and using the available data to guide campaign planning and optimization activities.,1
270,Performance of acceptance fire testing for authorities having jurisdiction,3
271,"Define and drive front-end architecture, code quality, and technical standards.",3
272,Collaborating with a globallyl distributed team,1
273,"Model business problems to machine learning ones, mapping business data to dependent and independent features, doing proper feature engineering, iterating with different predictive models, conducting hyper parameter optimization to yield highest prediction accuracy, and deploying the model to production",1
274,"Good analytical, communication, leadership and human relations skills required",3
275,Manages the operations of the certification or IOT programs and oversee the development of standards and testing materials,3
276,Contribute towards future roadmap,3
277,prototype new algorithms and productionize solutions at scale,2
278,Work expeditiously as a member of matrixed clinical trial teams with diverse membership and expertise,1
279,Maintains professional appearance.,4
280,Cultivate new and existing client relationships to develop business opportunities,4
281,"Research, identify, prospect and qualify new potential customers",4
282,"Develops effective, maintainable code in a timely fashion",3
283,"Helping to build and maintain our culture that produces team cohesion, high drive, and excitement within the engineering team.",3
284,"Create and deliver best practices, recommendations, tutorials, blog articles, and sample code.",3
285,Measuring performance and comparing the results to similar efforts across the organization and the industry,1
286,Support Business Process Reengineering (BPR) for analysis and redesign of federal payroll and cost management business processes using SAP CO to:,4
287,Analyze data to effectively coordinate the installation of new systems or modifications to existing systems.,2
288,Work with scheduler and directors to maintain established production schedule,3
289,Engages in thoughtful analytic design to ensure relevant findings. Ensures application of quality controls throughout projects.,1
290,Leads cross team code merge and deployment activities through collaboration and working closely with all Sales Force Sprint Teams,3
291,"Familiar with basic concepts, practices and procedures in field.",3
292,"You will collaborate with other data scientists, analysts, product managers, operations, and other departments to ensure products and technology meets internal standards.",1
293,"Communicate prototype results in an actionable form, including lessons learned and next steps for technical teams in the AI CoE and other technology groups",3
294,Develop and manage laboratory qualification programs for new products.,3
295,Work with data scientists and MLE to build pipelines to train and deploy models.,2
296,"Assisting developers in debugging application build, deployment and connectivity issues",3
297,Supervise data scientists and other talent towards successful project deliverables.,1
298,Developing new Project-specific features if needed.,3
299,"Execute analytics strategy, requirements, and adapt processes as needed.",2
300,Ability to work in hot and cold conditions for field investigations to review product failures.,3
301,Interact professionally with senior-level executives and other personnel prioritizing and accomplishing assigned tasks in a fast-paced environment with deadlines,1
302,"Integrate and commission servo drives and amplifiers into process automation for linear and/or rotary movements. (Siemens, Beckhoff, AB, SEW, Bosch, etc.).",3
303,integrate data sources using database scripts,1
304,Look for opportunities to enhance our current analytical capabilities and develop new analytics products,1
305,"Work in an Agile development environment, using Jira to plan work and track progress.",3
306,"Contribute to architecture and code design, estimates, code reviews, and documentation to ensure top quality software.",3
307,Improving the overall quality of our codebase through adopting model-view-presenter and Kotlin,3
308,"Person should have experience with virtualization technologies Dockers/Containers, Namespaces, etc.",3
309,Owns full life cycle of development process in conjunction with Product Owner and Scrum Master.,3
310,Optimize vision based deep learning algorithms for edge devices,2
311,Create a set of test scenarios for autonomous driving testing and validation,3
312,"Preparation of proposals, negotiations to actively pursue orders and order execution.",3
313,Collaborateacross multiple teams in architecting new solutions,3
314,"Cooperate with Model Risk Management, Legal/Compliance, Data Governance teams to identify and remediate model risks",1
315,Interact with subject matter experts to understand and communicate how key technology elements address specific risk.,3
316,"Train, calibrate and validate computer vision algorithms to extract objects, text etc.",1
317,"For small and medium engagements, perform project management functions including, but not limited to, project planning and definition, project scheduling, tracking status, and project completion reporting",4
318,Ability to handle high volume of work and work under deadlines,4
319,"Participate in the full software development cycle: design, develop, QA, deploy, experiment, and analyze.",2
320,Identify opportunities and lead initiatives to enhance our current analytical capabilities.,1
321,Partnering closely with our Enterprise team on creating innovative mechanisms for transforming and exposing data for consumption by internal and external customers,3
322,"Reinforce a philosophy of modular, well specified, understood and documented software architecture and design, with an eye toward efficiency and future maintainability.",3
323,Work with UX and other internal resources to assess and understand technical specifications and business requirements.,3
324,"Design, implement and optimize algorithms for unsupervised and supervised learning based on structured and unstructured data.",1
325,Research and implement appropriate ML algorithms and tools,2
326,"Complete correspondence, forms and reports using computer and applicable software",3
327,"Examine firewall, web, database, and other log sources to identify evidence and artifacts of malicious and compromised activity.",4
328,Bring all the capabilities to bear in designing client-specific change and transformation execution journeys,4
329,"Work with cross-functional teams like Engineering, Project Management & User Experience",2
330,Perform testing on an agile team Work with the development team to create test plans and test cases,3
331,Support the development of data and content pipelines to build new machine learning and deep learning models,3
332,Build robust and interpretable models that predict how digital search engagement leads to real-world health outcomes.,1
333,Provide coaching/advisory services to customer project teams,3
334,Write high quality designs that make sound engineering decisions across known and unknown interacting systems.,3
335,"Work with Business SMEs to create models which predict the outcome of key business processesLead and contribute to data analysis and modeling projects from project or prototype designGathering and analyzing data, identifying key prediction/classification problems, devising solutions and building prototypes.",1
336,Understand business requirements and devise resourceful backend data solutions,3
337,Possess increased confidence in the products and delivery schedules,3
338,Proactively enforce standards and best practices.,2
339,"Take on individual projects driven by the Architecture team. These may be POCs for new patterns or technology, or cross-team efforts that the Architecture team needs to drive to pull in those patterns or technologies into our code.",3
340,"Program logic controllers in ladder, sequential graphs and/or statement lists. (Siemens, AB, Beckhoff, Pilz, etc.)",3
341,"Set up, safely operate and maintain laboratory equipment and test instruments.",3
342,Compliance progress and monitoring of Service Providers,4
343,Previous exposure to highly scalable platforms,3
344,Work as part of a larger development team developing autonomous vehicles,2
345,Communicate clearly and effectively to technical and non-technical audiences equally well,2
346,Provide a source of creative energy; continuously thinking about and introducing new concepts and fresh ideas,3
347,Maintain inventory by observing inventory levels and prompting store management/Sales Representative to reorder when levels appear low.,4
348,"Implement best practices in building, profiling and monitoring high performance high availability solutions providing mission-critical real-time functionality on the control plane of mobile and fixed network",3
349,"Mentor, coach, train and lead fellow data scientists and analysts.",1
350,"Advise technical and non-technical audiences on information security concepts using presentations, reports, code samples, and visualizations.",4
351,"Lead efforts in cross-functional projects through a strong understanding of business systems, processes, and policies",4
352,"Interface with medical coders, administrators, and physicians to understand the strengths and weaknesses of existing products and to help develop new machine learning-empowered products.",2
353,Interface with multi-disciplinary teams internal/external to NASA,3
354,Must be familiar with various data integration techniques to harvest and integrate metadata from various places and tools.,4
355,Develop internal and external RESTful Web APIs and SDKs.,3
356,Provide work leadership and training to lower level industrial engineers.,3
357,"Share team responsibility for capacity and availability planning and reporting on a monthly, quarterly and yearly basis.",3
358,Identify software and hardware dependencies and capacities,3
359,Continuously develop product and sales knowledge to become the vehicle authority.,4
360,"Leverage the opportunities and efficiencies afforded by access to hybrid cloud-based, distributed ecosystem of technologies",1
361,Develop code for measurement of pricing actions,1
362,Collaborate as a participating member of the IT-Security and Information Security team,4
363,Collaborate across the business to understand IT and business constraints,1
364,"Supervise, lead, mentor, and cross-train teams of both blue team and red team consultants.",4
365,Growing your skillset through mentoring and training opportunities.,3
366,Improve model ingestion and robustness at the front end of our pipeline,2
367,Create and execute automated tests using product APIs and scripting,3
368,Designs data integrations and data quality framework.,3
369,This role bridges the gap between Software Engineer and Research Scientist.,2
370,"Formulates, documents, and maintains quality control standards and product installation guides for customers.",3
371,"Regularly updates eGRC - based on completed compliance monitoring reviews - and creates new ""risks"", and ""issues"", and inputs remediating action plans the business has agreed to",4
372,Keep our data separated and secure across national boundaries through multiple data centers and AWS regions.,4
373,"Developing and performing automated builds, testing, and deployments",3
374,Continuously improve team objectives through creative automation,3
375,Additional duties as may be required,3
376,Participate in problem solving and troubleshooting,3
377,You must be able to manage your time and generate additional appointments through referrals and other self-generated devices we equip you with.,4
378,Feedback: To provide respectful yet honest feedback to leadership about how to better achieve the DevOps goals,4
379,Reviewing and creating TTCN CRs and 36.523 CR changes for RAN5,3
380,Working with hardware in the loop systems (HiL).,3
381,"Establishes network specifications by conferring with users; analyzing workflow, access, information, and security requirements; designing router administration, including interface configuration and routing protocols.",3
382,Maintain an owner follow-up system that encourages repeat and referral business.,4
383,Providing software solutions to complex technical problems using ingenuity and creativity.,3
384,Flag any recording issues during sessions to avoid pickups and/or retakes,3
